timestamp,username,action,filename
2025-06-24T07:24:33.243Z,employee,Viewed,1750522378289-sample.txt.enc
2025-06-24T07:25:21.155Z,employee,Viewed,1750616827064-Nikhil.txt.enc
2025-06-24T07:25:23.056Z,employee,Downloaded,1750616827064-Nikhil.txt.enc
2025-06-24T12:55:31.987854,nikhi,Modified,1750743326770-confidential.txt.enc
2025-06-24T15:01:34.717474,nikhi,Modified,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:34.722Z,employee,Viewed,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:35.865Z,employee,Downloaded,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:39.517Z,employee,Downloaded,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:44.090Z,employee,Downloaded,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:47.226Z,employee,Downloaded,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:50.673Z,employee,Downloaded,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:54.269Z,employee,Downloaded,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:57.378Z,employee,Downloaded,1750434891923-Nikhil.txt.enc
2025-06-24T15:19:31.165686,nikhi,Modified,1750434968160-d.txt.enc
2025-06-24T09:49:31.167Z,employee,Viewed,1750434968160-d.txt.enc
2025-06-24T09:49:32.200Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:34.614Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:37.125Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:39.302Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:41.348Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:43.775Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:46.140Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:48.342Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:50.506Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:52.779Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:55.202Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:57.794Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:50:00.235Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T15:48:37.173060,nikhi,Modified,1750526612953-N.txt.enc
2025-06-24T10:18:37.178Z,employee,Viewed,1750526612953-N.txt.enc
2025-06-24T10:18:38.416Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:18:41.030Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:18:43.959Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:18:47.012Z,employee,Downloaded,1750526612953-N.txt.enc
